Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Nov 4, 2013",10:30p,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,"19,404",
"Mon, Nov 4, 2013",8:00p,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,"15,872",
"Mon, Nov 4, 2013",7:00p,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,"11,089",
"Tue, Nov 5, 2013",7:30p,Utah Jazz,88,Brooklyn Nets,104,Box Score,,"17,732",
"Tue, Nov 5, 2013",8:30p,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,"19,670",
"Tue, Nov 5, 2013",9:00p,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,"15,721",
"Tue, Nov 5, 2013",7:30p,Indiana Pacers,99,Detroit Pistons,91,Box Score,,"13,401",
"Tue, Nov 5, 2013",8:00p,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,"13,404",
"Tue, Nov 5, 2013",7:30p,Charlotte Bobcats,102,New York Knicks,97,Box Score,,"19,812",
"Tue, Nov 5, 2013",10:00p,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,"17,491",
"Tue, Nov 5, 2013",10:00p,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,"13,506",
"Tue, Nov 5, 2013",7:00p,Miami Heat,104,Toronto Raptors,95,Box Score,,"18,470",
"Wed, Nov 6, 2013",7:30p,Utah Jazz,87,Boston Celtics,97,Box Score,,"17,130",
"Wed, Nov 6, 2013",7:00p,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,"11,118",
"Wed, Nov 6, 2013",7:00p,Chicago Bulls,80,Indiana Pacers,97,Box Score,,"18,165",
"Wed, Nov 6, 2013",8:00p,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,"15,209",
"Wed, Nov 6, 2013",8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,"14,340",
"Wed, Nov 6, 2013",8:00p,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,"15,559",
"Wed, Nov 6, 2013",9:30p,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,"18,203",
"Wed, Nov 6, 2013",7:00p,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,"15,807",
"Wed, Nov 6, 2013",7:00p,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,"10,117",
"Wed, Nov 6, 2013",8:30p,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,"17,870",
"Thu, Nov 7, 2013",9:00p,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,"15,404",
"Thu, Nov 7, 2013",9:30p,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,"18,133",
"Thu, Nov 7, 2013",7:00p,Los Angeles Clippers,97,Miami Heat,102,Box Score,,"19,600",
"Fri, Nov 8, 2013",7:00p,New York Knicks,101,Charlotte Bobcats,91,Box Score,,"16,465",
"Fri, Nov 8, 2013",8:00p,Utah Jazz,73,Chicago Bulls,97,Box Score,,"21,946",
"Fri, Nov 8, 2013",7:30p,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,"15,624",
"Fri, Nov 8, 2013",7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,"13,316",
"Fri, Nov 8, 2013",8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,"13,677",
"Fri, Nov 8, 2013",8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,"18,209",
"Fri, Nov 8, 2013",7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,"17,555",
"Fri, Nov 8, 2013",7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,"15,219",
"Fri, Nov 8, 2013",9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,"15,145",
"Fri, Nov 8, 2013",10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,"17,627",
"Fri, Nov 8, 2013",8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,"18,581",
"Fri, Nov 8, 2013",7:00p,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,"17,215",
"Sat, Nov 9, 2013",7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,"15,189",
"Sat, Nov 9, 2013",7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,"17,732",
"Sat, Nov 9, 2013",7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,"20,562",
"Sat, Nov 9, 2013",8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,"18,108",
"Sat, Nov 9, 2013",8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,"16,989",
"Sat, Nov 9, 2013",7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,"19,710",
"Sat, Nov 9, 2013",8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,"16,448",
"Sat, Nov 9, 2013",10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,"15,482",
"Sat, Nov 9, 2013",7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,"17,211",
"Sun, Nov 10, 2013",9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,"18,997",
"Sun, Nov 10, 2013",12:00a,San Antonio Spurs,120,New York Knicks,89,Box Score,,"19,812",
"Sun, Nov 10, 2013",7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,"18,203",
"Sun, Nov 10, 2013",8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,"13,154",
"Mon, Nov 11, 2013",7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,"18,624",
"Mon, Nov 11, 2013",7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,"13,996",
"Mon, Nov 11, 2013",8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,"21,778",
"Mon, Nov 11, 2013",8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,"18,134",
